Region,1_2_Facility_Name,1_6_Population_Served,1_3_Facility Category,Lat,Lon,2_Inpatients_Bed_2019,2_Inpatients_Bed_2020,2_Inpatients_Bed_2021,2_Inpatients_Bed_2022,2_Inpatients_Bed_2023,,3_Patients_Admitted_2019,3_Patients_Admitted_2020,3_Patients_Admitted_2021,3_Patients_Admitted_2022,3_Patients_Admitted_2023,3_Patients_Admitted_2023_1,4_Inpatients_days_2019,4_Inpatients_days_2020,4_Inpatients_days_2021,4_Inpatients_days_2022,4_Inpatients_days_2023,4_Inpatients_days_2023_1,,,,,,,,,,,5_1_Delivery_2019,5_1_Delivery_2020,5_1_Delivery_2021,5_1_Delivery_2022,5_1_Delivery_2023,5_1_Delivery_2023_1,8_1_Deliveries_all_2019,8_1_Deliveries_all_2020,8_1_Deliveries_all_2021,8_1_Deliveries_all_2022,8_1_Deliveries_all_2023,8_1_Deliveries_all_2023_1,,,,,,8_1_4_CS_perc_2019,8_1_4_CS_perc_2020,8_1_4_CS_perc_2021,8_1_4_CS_perc_2022,8_1_4_CS_perc_2023,8_2_Stillbirth_2019,8_2_Stillbirth_2020,8_2_Stillbirth_2021,8_2_Stillbirth_2022,8_2_Stillbirth_2023,8_2_Stillbirth_2023_1,,,8_3_Livebirth_2019,8_3_Livebirth_2020,8_3_Livebirth_2021,8_3_Livebirth_2022,8_3_Livebirth_2023,8_3_Livebirth_2023_1,8_4_Neonatal_Transfer_2019,8_4_Neonatal_Transfer_2020,8_4_Neonatal_Transfer_2021,8_4_Neonatal_Transfer_2022,8_4_Neonatal_Transfer_2023,8_4_Neonatal_Transfer_2023_1,8_5_Neonatal_Deaths_2019,8_5_Neonatal_Deaths_2020,8_5_Neonatal_Deaths_2021,8_5_Neonatal_Deaths_2022,8_5_Neonatal_Deaths_2023,8_5_Neonatal_Deaths_2023_1,,,,,,8_8_Maternal_Transfer_2019,8_8_Maternal_Transfer_2020,8_8_Maternal_Transfer_2021,8_8_Maternal_Transfer_2022,8_8_Maternal_Transfer_2023,8_8_Maternal_Transfer_2023_1,8.9_Maternal_Mortality_2019,8.9_Maternal_Mortality_2020,8.9_Maternal_Mortality_2021,8.9_Maternal_Mortality_2022,8.9_Maternal_Mortality_2023,8.9_Maternal_Mortality_2023_1,,,,,,13_1_Building_Size_sqm,,Year_of_Construction,Year_of_last_major_refurbishment,
Region,Name,Population 2023,Category,,,Beds 2019,Beds 2020,Beds 2021,Beds 2022,Beds 2023,"Beds / 1,000 population",Admissions 2019,Admissions 2020,Admissions 2021,Admissions 2022,Admissions 2023,Admissions 2023c,Inpatient days 2019,Inpatient days 2020,Inpatient days 2021,Inpatient days 2022,,Inpatient days 2023c,ALOS 2019,ALOS 2020,ALOS 2021,ALOS 2022,ALOS 2023,BOR 2019,BOR 2020,BOR 2021,BOR 2022,BOR 2023,Deliveries 2019,Deliveries 2020,Deliveries 2021,Deliveries 2022,Deliveries 2023,Deliveries 2023c ,Deliveries 2019,Deliveries 2020,Deliveries 2021,Deiveries 2022,Deliveries 2023,Deliveries 2023c,CS 2019,CS 2020,CS 2021,CS 2022,CS 2023c,CS rate (%) 2019,CS rate (%) 2020,CS rate (%) 2021,CS rate (%) 2022,CS rate (%) 2023,Stillbirths 2019,Stillbirths 2020,Stillbirths 2021,Stillbirths 2022,Stillbirths 2023,Stillbirths 2023c,Stillbirths 5yrs average,"Stillbirths / 1,000 LB",Livebirths 2019,Livebirths 2020,Livebirths 2021,Livebirths 2022,Livebirths 2023,Livebirths 2023c,Neonatal Transfer 2019,Neonatal Transfer 2020,Neonatal Transfer 2021,Neonatal Transfer 2022,Neonatal Transfer 2023,Neonatal Transfer 2023c,Neonatal Death 2019,Neonatal Death 2020,Neonatal Death 2021,Neonatal Death 2022,Neonatal Death 2023,Neonatal Death 2023c,NMR 2019,NMR 2020,NMR 2021,NMR 2022,NMR 2023c,Maternal Transfer 2019,Maternal Transfer 2020,Maternal Transfer 2021,Maternal Transfer 2022,Maternal Transfer 2023,Maternal Transfer 2023c,Maternal Deaths 2019,Maternal Deaths 2020,Maternal Deaths 2021,Maternal Deaths 2022,Maternal Deaths 2023c,Maternal Deaths 2023c,MMR 2019,MMR 2020,MMR 2021,MMR 2022,MMR 2023c,Building size (sqm),sqm / Bed,Year of construction,Last refur-bishment,
National,Republican PC,0,NPC,41.3644,69.336205,150,150,150,150,180,,"8,215","7,500","7,644","7,214","5,103","8,935","53,603","47,981","50,924","44,870","34,016","41,856",6.53,6.40,6.66,6.22,4.68,81.59,73.03,77.51,68.30,63.71,"5,683","5,554","5,544","4,966","3,597","4,328","5,683","5,554","5,544","4,966","3,597","4,796","2,408","2,572","2,533","2,137","2,077",0.42,0.46,0.46,0.43,0.48,63,0,44,38,26,35,36,0.85,"5,876","5,698","5,713","5,139","3,696","4,928",66,18,65,67,40,53,118,73,80,85,58,77,20.08,12.81,14.00,16.54,15.69,14,43,57,45,3,4,3,1,0,2,2,3,51.06,17.55,0.00,38.92,54.11,"26,040",145,1982,0,
Andijan,Andijan RPC,"3,322,700",RPC,40.749901,72.372205,200,200,200,210,210,0.58,"15,547","13,870","16,672","16,955","13,396","17,861","73,617","58,943","70,439","70,662","56,628","75,504",4.74,4.25,4.22,4.17,4.23,96.04,76.90,91.90,92.19,98.50,"8,097","7,835","9,065","8,942","7,001","9,335","8,097","7,835","9,065","8,942","7,001","9,335","2,840","3,102","3,753","3,505","3,713",0.35,0.40,0.41,0.39,0.40,193,221,257,223,189,252,229,3.14,"8,187","8,004","9,237","9,194","7,192","9,589",702,1007,1093,1181,619,825,252,341,385,445,304,405,30.78,42.60,41.68,48.40,42.27,2,0,3,2,3,4,2,7,5,4,4,5,24.43,87.46,54.13,43.51,55.62,"12,000",57,2022,0,
Andijan,Kurgantepa IDPC,"183,443",IDPC,40.738185,72.757014,90,90,90,94,100,0.55,"11,114","11,324","10,563","10,718","5,402","7,203","58,015","47,561","45,527","46,087",0,"32,124",5.22,4.20,4.31,4.30,4.46,158.95,130.30,124.73,126.27,88.01,"3,358","3,962","3,729","3,755","2,830","3,773","3,358","3,962","3,729","3,755","2,830","3,773",497,557,714,696,823,0.15,0.14,0.19,0.19,0.22,31,42,38,32,40,53,39,1.32,"3,502","3,829","3,716","3,733","2,818","3,757",22,21,23,8,21,28,2,12,9,8,13,17,0.57,3.13,2.42,2.14,4.61,39,43,54,68,100,133,0,1,1,0,2,3,0.00,26.12,26.91,0.00,70.97,"3,900",39,0,0,
Andijan,Pakhtabad IDPC,"200,187",IDPC,40.931248,72.504763,100,100,100,100,110,0.55,"16,022","17,623","14,812","14,198","13,778","18,371","83,635","74,017","63,840","61,051",0,"46,524",5.22,4.20,4.31,4.30,2.53,208.31,184.35,159.00,152.06,115.88,"4,431","4,987","4,017","5,078","4,034","5,379","4,431","4,987","4,017","5,068","4,025","5,367",900,978,"1,050","1,142",962,0.20,0.20,0.26,0.22,0.18,0,0,54,47,30,40,28,0.69,"4,431","4,987","5,002","5,033","4,020","5,360",39,47,51,63,36,48,63,64,61,60,52,69,14.22,12.83,12.20,11.92,12.94,12,18,20,16,9,12,0,0,0,1,2,3,0.00,0.00,0.00,19.87,49.75,"4,290",39,1984,2017,6
Andijan,Shakhrikhan IDPC,"317,210",IDPC,40.693827,72.064165,0,0,165,165,165,0.52,"6,678","6,224","7,026","8,405","7,056","9,408","34,857","26,139","35,625","27,432","18,509","41,629",5.22,4.20,5.07,3.26,4.42,57.88,43.40,59.15,45.55,69.12,0,0,"4,705","4,343","3,793","5,057",0,0,"4,705","4,343","3,793","5,057",0,0,713,704,"1,104",0.00,0.00,0.15,0.16,0.22,0,0,12,24,20,27,13,0.35,"3,300","3,364","4,707","4,344","3,793","5,057",0,0,88,66,109,145,0,0,23,12,29,39,0.00,0.00,4.89,2.76,7.65,0,0,65,70,12,16,0,0,1,1,1,1,0.00,0.00,21.24,23.02,26.36,"6,435",39,2020,0,
Andijan,Andijan CMH #1,"300,000",CMH,40.749183,72.359272,165,165,165,165,165,0.55,"11,195","10,129","12,350","11,231","8,488","11,317","56,121","49,380","62,504","59,280","41,075","54,767",5.01,4.88,5.06,5.28,4.84,93.19,81.99,103.78,98.43,90.94,"6,966","7,406","8,953","7,818","6,215","8,287","6,966","7,406","8,953","7,818","6,215","8,287","1,199","1,181","1,533","1,406","1,747",0.17,0.16,0.17,0.18,0.21,60,64,77,72,50,67,68,1.06,"6,965","7,412","8,938","7,806","6,210","8,280",59,70,62,60,45,60,43,33,63,39,22,29,6.17,4.45,7.05,5.00,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"12,000",73,2014,2023,0
Andijan,Andijan CMH #2,"215,300",CMH,40.777508,72.352096,210,210,210,210,210,0.98,"16,338","13,956","14,515","16,753","11,942","15,923","77,606","57,902","64,676","73,560","51,400","68,533",4.75,4.15,4.46,4.39,4.30,101.25,75.54,84.38,95.97,89.41,"9,374","8,588","8,752","9,568","7,132","9,509","9,374","8,588","8,752","9,568","7,132","9,509","1,979","1,608","1,665","1,813","1,977",0.21,0.19,0.19,0.19,0.21,125,116,107,76,69,92,103,1.38,"9,349","8,565","8,729","9,875","7,134","9,512",0,0,0,0,0,0,81,72,51,50,45,60,8.66,8.41,5.84,5.06,6.31,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,10.13,0.00,"4,095",20,1991,2015,8
Andijan,Andijan DH,"250,517",MDH,40.796174,72.3747,110,110,110,110,110,0.44,"4,517","2,589","3,491","4,322","3,964","5,285","17,016","9,097","13,856","15,838","15,512","38,054",3.77,3.51,3.97,3.66,7.20,42.38,22.66,34.51,39.45,94.78,"2,660","3,245","3,575","3,400","2,690","3,587","2,642","3,214","3,538","3,392","2,678","3,571",413,466,453,463,471,0.16,0.14,0.13,0.14,0.13,15,16,12,13,11,15,14,0.52,"2,638","3,207","3,536","3,388","2,676","3,568",36,45,43,47,27,36,10,10,9,14,11,15,3.79,3.12,2.55,4.13,4.11,32,42,38,48,17,23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"1,225",11,1983,2010,13
Andijan,Asaka DMH #1,"89,603",DMH,40.665227,72.240679,95,95,95,95,95,1.06,"6,406","7,162","6,307","6,705","5,391","7,188","34,499","34,490","30,745","37,308","25,610","34,147",5.39,4.82,4.87,5.56,4.75,99.49,99.47,88.67,107.59,98.48,"3,556","5,088","4,011","4,179","3,333","4,444","3,556","5,088","4,011","4,179","3,333","4,444",192,421,369,519,549,0.05,0.08,0.09,0.12,0.12,41,50,32,35,29,39,39,1.14,"3,529","5,065","4,011","4,167","3,326","4,435",22,22,37,27,27,36,55,100,71,69,50,67,15.59,19.74,17.70,16.56,15.03,19,21,22,18,10,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"1,250",13,1969,2017,6
